smiles_a,smiles_e,smiles_p,yeild_classification,yield_regression,type
Cc1ccnc(Br)c1,C#Cc1ccc(N)cc1,Cc1ccnc(-n2cc(-c3ccc(N)cc3)nn2)c1,1,11.7,Y
COc1ccc(Br)cc1OC,C#Cc1ccsc1,COc1ccc(-n2cc(-c3ccsc3)nn2)cc1OC,1,11.5912674,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccc(C(=O)O)cc1,COc1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)c(OC)c1,1,10.88,Y
FC(F)(F)c1ccc(Br)cc1,C#Cc1ccc(N)cc1,Nc1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,1,10.58730733,Y
FC(F)(F)c1ccc(Br)cc1,C#Cc1ccncc1,FC(F)(F)c1ccc(-n2cc(-c3ccncc3)nn2)cc1,1,10.34650276,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccc(N)cc1,COc1ccc(-n2cc(-c3ccc(N)cc3)nn2)c(OC)c1,1,10.33,Y
COc1ccc(Br)cc1OC,C#Cc1cccc(N)c1,COc1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1OC,1,9.581404139,Y
O=Cc1ccc(Br)o1,C#CCCCC(=O)O,O=Cc1ccc(-n2cc(CCCC(=O)O)nn2)o1,1,8.757217432,Y
COc1ccc(Br)cc1OC,C#Cc1cccc([N+](=O)[O-])c1,COc1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1OC,1,8.701008559,Y
CC(C)(C)OC(=O)N1CCC(CBr)CC1,C#CCCCC(=O)O,CC(C)(C)OC(=O)N1CCC(Cn2cc(CCCC(=O)O)nn2)CC1,1,8.66983137,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1cccc(N)c1,Nc1cccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)c1,1,8.29,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#CCC(=O)OC,COC(=O)Cc1cn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)nn1,1,8,Y
Brc1ccc2c(c1)OCO2,C#Cc1ccc(Cl)cc1,Clc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,1,7.3,Y
COc1ccc(Br)cc1,C#Cc1cccc(N)c1,COc1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1,1,7.1,Y
Brc1ccc2c(c1)OCO2,C#CCC(=O)OC,COC(=O)Cc1cn(-c2ccc3c(c2)OCO3)nn1,1,6.7,Y
Brc1ccc2c(c1)OCO2,C#Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)c1,1,6.2,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1cccc(N)c1,Nc1cccc(-c2cn(-c3ccc(F)cc3Cl)nn2)c1,1,6.2,Y
COc1ccc(Br)cc1,C#Cc1ccc(C(=O)O)cc1,COc1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)cc1,1,6.2,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccncc1,COc1ccc(-n2cc(-c3ccncc3)nn2)c(OC)c1,1,6.12,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccc(Cl)cc1,COc1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)c(OC)c1,1,5.87,Y
Brc1ccc2c(c1)OCO2,C#Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,1,5.3,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccsc1,COc1ccc(-n2cc(-c3ccsc3)nn2)c(OC)c1,1,5.13,Y
COc1ccc(Br)cc1OC,C#Cc1ccc(C(=O)O)cc1,COc1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)cc1OC,1,5.035057897,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(-c3ccc(OC)cc3OC)nn2)cc1,1,4.6,Y
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(N)cc1,Nc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,1,4.44,Y
Cc1ccnc(Br)c1,C#Cc1ccsc1,Cc1ccnc(-n2cc(-c3ccsc3)nn2)c1,1,4.3,Y
FC(F)(F)c1ccc(Br)cc1,C#Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1,1,3.920383661,Y
Brc1ccc2c(c1)OCO2,C#Cc1cccc(N)c1,Nc1cccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)c1,1,3.9,Y
COc1ccc(Br)cc1,C#Cc1cccc([N+](=O)[O-])c1,COc1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1,1,3.9,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3ccc(OC)cc3OC)nn2)cc1,1,3.81,Y
Brc1nc2ccccc2s1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,1,6.8,Y
Brc1ccc(Oc2ccccc2)cc1,C#Cc1cccc(N)c1,Nc1cccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)c1,1,3.73,Y
Brc1ccc2c(c1)OCO2,C#Cc1cccc(Cl)c1,Clc1cccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)c1,1,3.6,Y
Cc1ccnc(Br)c1,C#Cc1ccc([N+](=O)[O-])cc1,Cc1ccnc(-n2cc(-c3ccc([N+](=O)[O-])cc3)nn2)c1,1,3.24,Y
COc1ccc(Br)c(OC)c1,C#Cc1ccc([N+](=O)[O-])cc1,COc1ccc(-n2cc(-c3ccc([N+](=O)[O-])cc3)nn2)c(OC)c1,1,2.97,Y
FC(F)(F)c1ccc(Br)cc1,C#Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,1,2.613589108,Y
COc1ccc(Br)cc1OC,C#Cc1ccc(C#N)cc1,COc1ccc(-n2cc(-c3ccc(C#N)cc3)nn2)cc1OC,1,2.495437763,Y
COc1ccc(Br)cc1,C#Cc1ccc([N+](=O)[O-])cc1,COc1ccc(-n2cc(-c3ccc([N+](=O)[O-])cc3)nn2)cc1,1,2.1,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1ccsc1,Fc1ccc(-n2cc(-c3ccsc3)nn2)c(Cl)c1,1,1.9,Y
Cc1ccnc(Br)c1,C#Cc1ccncc1,Cc1ccnc(-n2cc(-c3ccncc3)nn2)c1,1,0.3,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,1,49.47157514,Y
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(Cl)cc1,Clc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,0,0,N
Brc1ccc(Oc2ccccc2)cc1,C#Cc1ccc(F)cc1,Fc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,0,0,N
